"term","estimate","std.error","statistic","p.value","indicator"
"(Intercept)",3.99065420560746,0.187106381613476,21.3282634787484,5.81017664065597e-70,11
"skylight_treatment",-0.951438519332969,0.329330577419518,-2.88900753397392,0.00405415151181223,11
"pre_post_treatment",-0.691588785046729,0.229157581285742,-3.01796161910249,0.00269157712235123,11
"skylight_treatment:pre_post_treatment",0.892373098772218,0.419414965694055,2.12766155660541,0.0339167892392409,11
"(Intercept)",2.60747663551402,0.131110504842746,19.887625622687,2.29641708908753e-63,12
"skylight_treatment",0.098405717427157,0.230770847542894,0.426421787998443,0.670007658734746,12
"pre_post_treatment",-0.00934579439252296,0.160576918391715,-0.0582013559989027,0.953614483978354,12
"skylight_treatment:pre_post_treatment",-0.056536558548651,0.293895416161423,-0.192369650697778,0.847540815651713,12
"(Intercept)",3.12121212121214,0.242920462973993,12.8486998707322,3.55151983736261e-31,13
"skylight_treatment",0.545454545454553,0.398590043547976,1.36846003628011,0.172053462239836,13
"pre_post_treatment",-0.166155941436836,0.284412717648196,-0.584207143797141,0.559460550657353,13
"skylight_treatment:pre_post_treatment",0.205371627711342,0.487882176562164,0.420945133020604,0.674055741782184,13
"(Intercept)",4.33644859813082,0.120569283003345,35.9664459314278,1.6898511412789e-133,14
"skylight_treatment",0.310610225398572,0.212216981848197,1.46364453350278,0.144000276805932,14
"pre_post_treatment",-0.0794392523364509,0.147666611005708,-0.537963536884992,0.590872380069138,14
"skylight_treatment:pre_post_treatment",-0.0342862378596272,0.27026636536144,-0.126860912987728,0.899108043297746,14
"(Intercept)",1.15887850467291,0.0808151146091768,14.3398733055971,1.40171733356898e-38,15
"skylight_treatment",0.56661169140554,0.142244685237117,3.98335931118283,7.94193462334927e-05,15
"pre_post_treatment",0.172897196261683,0.0989778971485128,1.74682632428791,0.0813604868961717,15
"skylight_treatment:pre_post_treatment",-0.138387392340117,0.181153995011188,-0.763921283279291,0.445320824068268,15
"(Intercept)",1.45794392523366,0.10284339002506,14.1763503213809,6.98370367168716e-38,16
"skylight_treatment",0.267546270844787,0.18101719849781,1.47801575245362,0.140114169392933,16
"pre_post_treatment",0.233644859813084,0.125956914489717,1.85495858452582,0.0642663070707701,16
"skylight_treatment:pre_post_treatment",0.0541982774418162,0.230532259387747,0.235100621430411,0.814239270051754,16
"(Intercept)",1.83333333333333,0.159235681840356,11.5133323897301,2.6140435916409e-26,17
"skylight_treatment",-0.540650406504064,0.264355095073378,-2.04516733961187,0.0415690397008587,17
"pre_post_treatment",-0.177966101694916,0.188865847681496,-0.942288422600569,0.346680418408908,17
